security_name,security_code
DirexionデイリーFTSE中国株ブル3倍ETF YINN / NYSE ARCA,YINN
Direxionデイリーヘルスケア株ブル3倍ETF CURE / NYSE ARCA,CURE
Direxionデイリー中ネット指数株ブル2倍ETF CWEB / NYSE ARCA,CWEB
Direxionデイリー半導体株ブル3倍ETF SOXL / NYSE ARCA,SOXL
SPDRゴールド ミニシェアーズ トラスト GLDM / NYSE ARCA,GLDM
iシェアーズ コア 米国総合債券市場 ETF AGG / NYSE ARCA,AGG
アドバンスト マイクロ デバイシズ AMD / NASDAQ,AMD
アリスタ ネットワークス ANET / New York Stock Exchange,ANET
インベスコ QQQ トラストシリーズ1 ETF QQQ / NASDAQ,QQQ
エヌビディア NVDA / NASDAQ,NVDA
オーロラ イノベーション A AUR / NASDAQ,AUR
サムサラ A IOT / New York Stock Exchange,IOT
ストラテジー Inc A MSTR / NASDAQ,MSTR
ネビウス グループ A NBIS / NASDAQ,NBIS
ハイペリオン DeFi HYPD / NASDAQ,HYPD
バンガード S&P 500 ETF VOO / NYSE ARCA,VOO
バンガード トータルストックマーケットETF VTI / NYSE ARCA,VTI
バンガード 米国ヘルスケア セクター ETF VHT / NYSE ARCA,VHT
バンガード 超長期米国債 ETF EDV / NYSE ARCA,EDV
プロシェア ウルトラプロ QQQ ETF TQQQ / NASDAQ,TQQQ
マイクロン テクノロジー MU / NASDAQ,MU
マラ ホールディングス MARA / NASDAQ,MARA
モザイク MOS / New York Stock Exchange,MOS
阿里巴巴集団（アリババ グループ）ADR BABA / New York Stock Exchange,BABA
Ｔｒａｃｅｒｓ　ＮＡＳＤＡＱ１００ゴールドプラス,QQQ
ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）,VOO
グローバルX ハンセン・テック ETF(Global X恒生科技ETF),2837.HK
香港ハンセン指数ファンド,2800.HK
