Date,V,3350.T,NVDA,3825.T,2559.T,1542.T,INDA,FTN,YINN,XLV,1489.T,8801.T,SHY,9843.T,1364.T,VYM,8766.T,VDC,8630.T,EEM,254A.T,VTI,IWM,Z,IEF,BND,200A.T,2811.T,MSTR,BABA,224A.T,2530.T,8795.T,6072.T,MOS,380A.T,DLO,GLD,VS,8985.T,TDOC,STRL,9434.T,2019.T,9984.T,4707.T,IO,NVDU,EURJPY=X,8802.T,6367.T,PTON,FNGU,LYF,TSM,ADM,2631.T,COIN,VWO,1326.T,PLTR,7453.T,PFFD,180A.T,QQQ,VGK,8737.T,BNDX,MU,2413.T,8600.T,2647.T,TQQQ,1322.T,TMF,2620.T,SOXX,EBIZ,FUTU,VDE,PFF,VBK,CURE,EFA,5838.T,2914.T,9432.T,159A.T,1629.T,VEA,XL,SOXL,1656.T,3863.T,CWEB,EDV,2098.T,2563.T,282A.T,U,AGG,8473.T,BIDU,8173.T,TSLA,CLS,3778.T,DIS,2553.T,1545.T,9506.T,XLP,2568.T,USDJPY=X,VXUS,PSO,1651.T,CXSE,AMZN,PDD,VOO,ZM,2837.T,NOBL,MS,1615.T,3903.T,SPO,ACWI,SPYG,MARA,VIG,TMV,ICLN,1343.T,VXF
2018-01-15,,340.0,,679.6732177734375,,5710.0,,,,,916.1618041992188,818.609375,,3203.282470703125,,,,,1122.29296875,,,,,,,,,3679.572998046875,,,,,1564.076904296875,354.31646728515625,,,,,,64539.796875,,,,,4379.8896484375,309.4792785644531,,,,1841.3814697265625,12373.1083984375,,,,,,,,,14110.0,,1545.6439208984375,,,,,386.1847839355469,,,1939.714111328125,498.30908203125,,,6170.0,,,,,,,,,,,,,78.81840515136719,,,,,,198.4715118408203,,,,,,,,,925.9602661132812,,3034.134765625,,,,,,,1193.55615234375,,,,,,936.8123168945312,,,,,,,,,166.4480743408203,1076.1959228515625,,,,,,,,1348.9912109375,
2018-01-16,,380.0,,744.1677856445312,,5730.0,,8.868000030517578,,,916.1618041992188,804.0089111328125,,3237.189453125,,,,,1126.2650146484375,41.07428359985352,,125.63410186767578,141.156494140625,,,,,3684.12109375,,173.22434997558594,,,1551.451171875,349.5024108886719,,,,,15.401188850402832,64378.64453125,,,,,4465.84375,304.1890869140625,,,,1836.156982421875,12541.3564453125,,,,,,,,,14120.0,,1556.5286865234375,,,,,381.6107177734375,,,1932.52099609375,486.095703125,,,6180.0,,,,,,,,,,57.644378662109375,,,79.93324279785156,,,,,,198.4715118408203,,,,,,,,,920.7054443359376,257.7799987792969,3030.250244140625,,,,,,,1193.55615234375,,,,,8.001680374145508,937.5982666015624,,,,,,,,,165.71157836914062,1093.8544921875,,,31.78368759155273,,,,,1354.9046630859375,
2018-01-17,,350.0,,,,,,9.017999649047852,,,,,,,16556.970703125,,1352.0146484375,,1136.4427490234375,,,,,,,,,,,,,,1554.12939453125,345.651123046875,,,,,15.795204162597656,64620.37890625,,15.3100004196167,,,4428.8037109375,,,,135.45199584960938,1837.02783203125,12527.71484375,,,,,,,,,,,,,,,,369.84869384765625,,,,477.1391906738281,,,6180.0,,,,,,,,,,,,2308.7314453125,,,29585.97265625,,,,,1799.3883056640625,,,,,,,,,,,,11.210000038146973,,,,7363.5888671875,,46.7639045715332,,,46.70809555053711,,933.6690673828124,,,,,,,,,,,,,,,,,,,
2018-01-18,,350.0,,862.242431640625,,5640.0,,9.142000198364258,,,906.5848388671876,790.5426635742188,,3205.166015625,,,,,1120.0589599609375,41.66558837890625,,126.57115936279295,141.51808166503906,,,,,3693.2177734375,,175.12376403808594,,,1533.46875,341.7998962402344,,,,,16.095016479492188,65667.8359375,,,,,4373.71630859375,303.307373046875,,,,1807.854736328125,12486.791015625,,,,,,,,,14000.0,,1558.7054443359375,,,,,373.7693786621094,,,1903.7490234375,466.5541076660156,,,6240.0,,,,,,,,,,57.87205123901367,,,78.61985778808594,,,,,,197.98309326171875,,,,,,,,,859.3948974609375,254.9600067138672,2940.896728515625,,,,,,,1174.25341796875,,,,,7.667596817016602,925.809814453125,,,,,,,,,162.7655792236328,1050.68896484375,,,32.16208267211914,,,,,1380.775634765625,
2018-01-19,,,,,,,,,,,905.5208129882812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1823.9652099609373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.68888854980469,,,,,,197.1689910888672,1796.7777099609375,,,,,,,,,,,,,833.0221557617188,,,7441.20263671875,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-22,,340.0,,,,,,9.170000076293944,,,,,,,16556.970703125,,1311.6263427734375,,1156.5501708984375,,,,,,,,,,,,,,1582.059326171875,348.53961181640625,,,,,16.480470657348633,65667.8359375,,14.670000076293944,,,4402.68505859375,,,,135.64100646972656,1833.1090087890625,12632.3037109375,,,,,,,,,,,,,,,,384.8778991699219,,,,462.4830322265625,,,6310.0,,,,,,,,,,,,2325.281982421875,,,29504.244140625,,,,,1796.7779541015625,,,,,,,,,,,,11.15999984741211,,,,7450.904296875,,47.50322341918945,,,47.12233352661133,,929.739501953125,,,,,,,,,,,,,,,,,,,
2018-01-23,,350.0,,,,,,9.149999618530272,,,,,,,16741.8046875,,1322.216064453125,,1179.38818359375,,,,,,,,,,,,,,1580.5286865234375,355.279296875,,,,,16.471900939941406,66070.7109375,,14.449999809265137,,,4491.4892578125,,,,136.00100708007812,1897.11572265625,12914.2333984375,,,,,,,,,,,,,,,,403.8277282714844,,,,464.92578125,,,6390.0,,,,,,,,,,,,2339.92236328125,,,29545.111328125,,,,,1806.3489990234373,,,,,,,,,,,,11.09000015258789,,,,7557.623046875,,47.34886169433594,,,47.30992126464844,,939.9561767578124,,,,,,,,,,,,,,,,,,,
2018-01-24,,350.0,,,,,,9.050000190734863,,,,,,,16663.98046875,,1329.35791015625,,1183.3599853515625,,,,,,,,,,,,,,1562.928955078125,365.8702697753906,,,,,16.686044692993164,66634.71875,,14.109999656677246,,,4467.26953125,,,,135.53799438476562,1920.192626953125,12741.4365234375,,,,,,,,,,,,,,,,403.1742858886719,,,,469.8110656738281,,,6400.0,,,,,,,,,,,,2352.016845703125,,,29381.6484375,,,,,1824.6214599609373,,,,,,,,,,,,11.029999732971191,,,,7538.2197265625,,47.44636154174805,,,47.51313781738281,,936.8123779296876,,,,,,,,,,,,,,,,,,,
2018-01-25,,340.0,,,,,,9.08199977874756,,,,,,,16508.33203125,,1327.6337890625,,1169.9552001953125,,,,,,,,,,,,,,1526.58203125,362.0190124511719,,,,,16.891626358032227,66392.9921875,,14.510000228881836,,,4407.43359375,,,,135.45899963378906,1924.9822998046875,12486.7900390625,,,,,,,,,,,,,,,,399.2536010742188,,,,456.7832946777344,,,6430.0,,,,,,,,,,,,2338.0126953125,,,29381.6484375,,,,,1813.3099365234373,,,,,,,,,,,,10.420000076293944,,,,7431.50146484375,,47.47073745727539,,,47.34118270874024,,929.739501953125,,,,,,,,,,,,,,,,,,,
2018-01-26,,340.0,,780.8800048828125,,5710.0,,9.17199993133545,,,898.0726928710938,834.201904296875,,3334.201171875,,,,,1146.6201171875,43.37285232543945,,129.82423400878906,144.28445434570312,,,,,3747.79736328125,,194.8964080810547,,,1503.2431640625,355.279296875,,,,,16.95159149169922,65909.5546875,,,,,4368.9677734375,302.4256591796875,,,,1883.6173095703125,12141.1962890625,,,,,,,,,14030.0,,1576.1212158203125,,,,,397.2932434082031,,,1831.8189697265625,447.8268737792969,,,6490.0,,,,,,,,,,59.07313537597656,,,80.6510238647461,,,,,,195.2152404785156,,,,,,,,,900.3853759765625,260.25,2870.968017578125,,,,,,,1176.666259765625,,,,,7.985383987426758,923.4520874023438,,,,,,,,,158.34661865234375,1034.992431640625,,,33.0849494934082,,,,,1381.5146484375,
